" step=1"
0 0.3211172086642667
5 0.3575024249973164
10 0.3988922503340291
15 0.37176169332815334
20 0.3876605229937316
25 0.40504082266124897
30 0.4201759629989586
35 0.4390742149989819
40 0.6195109153341036
45 0.8238509299941749
50 1.260213429995929
55 1.9097853920102352
60 2.78597735700896
65 3.6482772099989234
70 4.9816194500017446


" step=0.5"
0 0.6580223123358641
5 0.6914717346662655
10 0.7278309473331319
15 0.7655714613307888
20 1.0448733609955525
25 1.0477623619954102
30 0.894231771667061
35 0.9304798423302904
40 1.1464734110049903
45 1.638658948999364
50 2.385603293994791
55 3.417917630999
60 5.091466837999178
65 7.654046131996438
70 14.096040946998983


" step=0.25"
0 1.1009871119895251
5 1.1558781899948372
10 1.2249142700020457
15 1.2747206939966418
20 1.3398563349910546
25 1.4151556760043604
30 1.5782916880125413
35 1.5929119950014865
40 1.8832798819930758
45 2.6637485529936384
50 4.33456978200411
55 6.354058325989172
60 13.70566250399861
65 20.03231170300569
70 38.769655374999274


