" step=1"
0 0.0604606469472
5 0.232079664866
10 0.387605985006
15 0.5744972229
20 0.746378898621
25 0.916258811951
30 1.10077309608
35 1.26520800591
40 1.55294489861
45 1.86471295357
50 2.24673891068
55 2.6158490181
60 3.04972100258
65 3.32490587234
70 3.72159409523


" step=0.5"
0 0.103183666865
5 0.697311162949
10 1.28929209709
15 1.87478494644
20 2.48203897476
25 3.07546281815
30 3.68301200867
35 4.3108420372
40 5.01005578041
45 7.07665610313
50 9.0582947731
55 11.0526959896
60 13.0466399193
65 14.9296760559
70 17.0421750546


" step=0.25"
0 0.186104377111
5 2.41927194595
10 4.55447101593
15 6.74020409584
20 8.93218803406
25 11.1862399578
30 13.3026008606
35 15.6158950329
40 18.6459360123
45 30.2577300072
50 42.4152078629
55 54.4224798679
60 66.0720868111


